gvkey,datadate,fyearq,fqtr,indfmt,consol,popsrc,datafmt,tic,curcdq,datacqtr,datafqtr,atq,costat
001075,2022-06-30,2022,2,INDL,C,D,STD,PNW,USD,2022Q2,2022Q2,22501.4800,A
001075,2022-09-30,2022,3,INDL,C,D,STD,PNW,USD,2022Q3,2022Q3,22844.5980,A
001075,2022-12-31,2022,4,INDL,C,D,STD,PNW,USD,2022Q4,2022Q4,22723.4050,A
001075,2023-03-31,2023,1,INDL,C,D,STD,PNW,USD,2023Q1,2023Q1,23580.3730,A
001075,2023-06-30,2023,2,INDL,C,D,STD,PNW,USD,2023Q2,2023Q2,23979.3420,A
001075,2023-09-30,2023,3,INDL,C,D,STD,PNW,USD,2023Q3,2023Q3,24434.4260,A
001078,2010-03-31,2010,1,INDL,C,D,STD,ABT,USD,2010Q1,2010Q1,53358.6220,A
001078,2010-06-30,2010,2,INDL,C,D,STD,ABT,USD,2010Q2,2010Q2,53381.4020,A
001078,2010-09-30,2010,3,INDL,C,D,STD,ABT,USD,2010Q3,2010Q3,57373.6200,A
001078,2010-12-31,2010,4,INDL,C,D,STD,ABT,USD,2010Q4,2010Q4,59462.2660,A
001078,2011-03-31,2011,1,INDL,C,D,STD,ABT,USD,2011Q1,2011Q1,61651.3630,A
001078,2011-06-30,2011,2,INDL,C,D,STD,ABT,USD,2011Q2,2011Q2,62004.2410,A
001078,2011-09-30,2011,3,INDL,C,D,STD,ABT,USD,2011Q3,2011Q3,59628.1760,A
001078,2011-12-31,2011,4,INDL,C,D,STD,ABT,USD,2011Q4,2011Q4,60276.8930,A
001078,2012-03-31,2012,1,INDL,C,D,STD,ABT,USD,2012Q1,2012Q1,62415.8010,A
001078,2012-06-30,2012,2,INDL,C,D,STD,ABT,USD,2012Q2,2012Q2,61859.7900,A
001078,2012-09-30,2012,3,INDL,C,D,STD,ABT,USD,2012Q3,2012Q3,63257.7380,A
001078,2012-12-31,2012,4,INDL,C,D,STD,ABT,USD,2012Q4,2012Q4,67234.9440,A
001078,2013-03-31,2013,1,INDL,C,D,STD,ABT,USD,2013Q1,2013Q1,42686.6130,A
001078,2013-06-30,2013,2,INDL,C,D,STD,ABT,USD,2013Q2,2013Q2,42903.3460,A
001078,2013-09-30,2013,3,INDL,C,D,STD,ABT,USD,2013Q3,2013Q3,44132.4770,A
001078,2013-12-31,2013,4,INDL,C,D,STD,ABT,USD,2013Q4,2013Q4,42953.0000,A
001078,2014-03-31,2014,1,INDL,C,D,STD,ABT,USD,2014Q1,2014Q1,41662.0000,A
001078,2014-06-30,2014,2,INDL,C,D,STD,ABT,USD,2014Q2,2014Q2,41475.0000,A
001078,2014-09-30,2014,3,INDL,C,D,STD,ABT,USD,2014Q3,2014Q3,42514.0000,A
001078,2014-12-31,2014,4,INDL,C,D,STD,ABT,USD,2014Q4,2014Q4,41275.0000,A
001078,2015-03-31,2015,1,INDL,C,D,STD,ABT,USD,2015Q1,2015Q1,43095.0000,A
001078,2015-06-30,2015,2,INDL,C,D,STD,ABT,USD,2015Q2,2015Q2,44125.0000,A
001078,2015-09-30,2015,3,INDL,C,D,STD,ABT,USD,2015Q3,2015Q3,41725.0000,A
001078,2015-12-31,2015,4,INDL,C,D,STD,ABT,USD,2015Q4,2015Q4,41247.0000,A
001078,2016-03-31,2016,1,INDL,C,D,STD,ABT,USD,2016Q1,2016Q1,39637.0000,A
001078,2016-06-30,2016,2,INDL,C,D,STD,ABT,USD,2016Q2,2016Q2,39831.0000,A
001078,2016-09-30,2016,3,INDL,C,D,STD,ABT,USD,2016Q3,2016Q3,39497.0000,A
001078,2016-12-31,2016,4,INDL,C,D,STD,ABT,USD,2016Q4,2016Q4,52666.0000,A
001078,2017-03-31,2017,1,INDL,C,D,STD,ABT,USD,2017Q1,2017Q1,70887.0000,A
001078,2017-06-30,2017,2,INDL,C,D,STD,ABT,USD,2017Q2,2017Q2,71151.0000,A
001078,2017-09-30,2017,3,INDL,C,D,STD,ABT,USD,2017Q3,2017Q3,72248.0000,A
001078,2017-12-31,2017,4,INDL,C,D,STD,ABT,USD,2017Q4,2017Q4,76250.0000,A
001078,2018-03-31,2018,1,INDL,C,D,STD,ABT,USD,2018Q1,2018Q1,70908.0000,A
001078,2018-06-30,2018,2,INDL,C,D,STD,ABT,USD,2018Q2,2018Q2,68415.0000,A
001078,2018-09-30,2018,3,INDL,C,D,STD,ABT,USD,2018Q3,2018Q3,71637.0000,A
001078,2018-12-31,2018,4,INDL,C,D,STD,ABT,USD,2018Q4,2018Q4,67173.0000,A
001078,2019-03-31,2019,1,INDL,C,D,STD,ABT,USD,2019Q1,2019Q1,67610.0000,A
001078,2019-06-30,2019,2,INDL,C,D,STD,ABT,USD,2019Q2,2019Q2,68427.0000,A
